date_block_num,shop_id,item_id,item_category_id,month,year,item_cnt_month_lag_1,item_cnt_month_lag_2,item_cnt_month_lag_3,item_cnt_month_lag_6,item_cnt_month_lag_12,item_cnt_month
23,2,5,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,7,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,14,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,30,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,31,37,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,32,40,11,1,0.0,2.0,2.0,0.0,0.0,2.0
23,2,33,37,11,1,0.0,0.0,1.0,0.0,1.0,0.0
23,2,36,37,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,37,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,38,41,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,40,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,42,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,44,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,45,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,46,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,49,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,51,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,52,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,53,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,57,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,59,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,64,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,67,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,71,37,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,74,37,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,76,37,11,1,0.0,0.0,0.0,1.0,0.0,0.0
23,2,77,40,11,1,0.0,0.0,0.0,1.0,0.0,0.0
23,2,85,37,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,87,37,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,90,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,91,37,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,93,43,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,100,40,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,101,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,109,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,113,57,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,149,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,153,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,154,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,155,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,156,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,166,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,197,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,199,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,202,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,213,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,226,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,228,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,244,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,253,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,256,44,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,257,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,258,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,259,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,264,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,269,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,292,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,293,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,294,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,295,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,297,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,298,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,300,44,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,308,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,313,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,325,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,330,44,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,386,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,392,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,405,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,407,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,408,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,410,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,413,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,414,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,421,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,448,45,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,464,49,11,1,0.0,1.0,0.0,0.0,0.0,0.0
23,2,472,49,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,475,73,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,477,73,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,478,73,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,479,49,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,481,49,11,1,0.0,0.0,0.0,1.0,1.0,0.0
23,2,482,73,11,1,0.0,1.0,2.0,0.0,1.0,0.0
23,2,485,73,11,1,0.0,1.0,1.0,0.0,0.0,0.0
23,2,486,73,11,1,2.0,1.0,1.0,0.0,0.0,0.0
23,2,491,73,11,1,1.0,1.0,0.0,0.0,0.0,0.0
23,2,492,76,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,493,54,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,494,49,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,496,73,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,502,31,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,504,31,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,505,31,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,508,31,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,515,31,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,521,31,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,528,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,534,77,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,535,73,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,537,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,538,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,560,77,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,563,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,574,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,576,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,578,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,585,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,618,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,619,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,629,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,632,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,633,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,638,77,11,1,0.0,0.0,0.0,0.0,1.0,0.0
23,2,643,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,653,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,657,77,11,1,0.0,0.0,0.0,0.0,3.0,0.0
23,2,677,77,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,687,73,11,1,0.0,0.0,1.0,0.0,0.0,0.0
23,2,688,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,701,77,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,717,77,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,718,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,722,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,742,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,756,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,764,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,765,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,766,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,767,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,768,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,780,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,781,78,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,784,49,11,1,0.0,1.0,0.0,0.0,0.0,0.0
23,2,786,49,11,1,0.0,1.0,1.0,0.0,0.0,0.0
23,2,790,49,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,792,73,11,1,0.0,1.0,1.0,0.0,0.0,0.0
23,2,795,73,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,798,54,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,799,54,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,800,54,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,801,54,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,802,49,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,803,54,11,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,805,54,11,1,0.0,0.0,0.0,0.0,0.0,0.0
